node_id,code,code_title,chapter,dominant_theme,code_frequency,clusters_represented,title,within_strength,label_score,colour_key,x,y
Chapter 4::innate_natural_claim,innate_natural_claim,innate natural claim,Chapter 4,Internalisation,1,1,<div style='max-width:560px'><h2 style='margin-bottom:4px'>innate natural claim</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 1<br><b>Clusters represented:</b> 1</p><h3>Participant pseudonyms</h3><ul><li>Dwayne Andrews</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Dwayne Andrews:</b> “It is innate. It is natural”; “A baby just born”; “So is a survival”; “It is a built-in.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,0,1,Chapter 4: Internalisation,-1097.4113956797435,-28.102597524525777
Chapter 4::prior_socialisation_mismatch,prior_socialisation_mismatch,prior socialisation mismatch,Chapter 4,Internalisation,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>prior socialisation mismatch</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Anara Birdsong</li><li>Kwame Dawn</li><li>Jeremiah Black</li><li>Chaz Stonegrill</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Female</li><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Kwame Dawn:</b> “how dem fi super indisciplined, as dem reach?”</li><li><b>Jeremiah Black:</b> “you can tell the homes”; “were you a cadet?”; “Very sharp”</li><li><b>Chaz Stonegrill:</b> “first socialisation”; “Your values”; “beliefs are difficult to change”</li><li><b>Anara Birdsong:</b> “I would tend to disagree with the idea that it is innate”; “culture, atmosphere, community”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",2,6,Chapter 4: Internalisation,-1029.2040147889732,-360
Chapter 4::repetition_habit_memory,repetition_habit_memory,repetition habit memory,Chapter 4,Internalisation,3,3,<div style='max-width:560px'><h2 style='margin-bottom:4px'>repetition habit memory</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 3<br><b>Clusters represented:</b> 3</p><h3>Participant pseudonyms</h3><ul><li>Anthony Jackson</li><li>Marcus Black</li><li>Jonathan McDermott</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Jonathan McDermott:</b> “neatness is often associated with discipline”; “works on the mind”</li><li><b>Anthony Jackson:</b> “put out wan 60% every day”; “develop consistency”; “ability to self-regulate”</li><li><b>Marcus Black:</b> “Drill being repetitive in nature will cause us to automatically change”; “brain memory and muscle memory”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,2,5,Chapter 4: Internalisation,-739.7888892859372,-230.3484039133606
Chapter 4::goal_persistence,goal_persistence,goal persistence,Chapter 4,Internalisation,1,1,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>goal persistence</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 1<br><b>Clusters represented:</b> 1</p><h3>Participant pseudonyms</h3><ul><li>Anaya Redemption</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Anaya Redemption:</b> “I persist, even though I don’t want to”; “If it is ambiguous, it’s not a goal.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",0,1,Chapter 4: Internalisation,-933.2583725078387,360
Chapter 4::self_regulation_autonomy,self_regulation_autonomy,self regulation autonomy,Chapter 4,Internalisation,3,3,<div style='max-width:560px'><h2 style='margin-bottom:4px'>self regulation autonomy</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 3<br><b>Clusters represented:</b> 3</p><h3>Participant pseudonyms</h3><ul><li>Anthony Jackson</li><li>Passion Purpose</li><li>Obael Stormstrong</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Anthony Jackson:</b> “put out wan 60% every day”; “develop consistency”; “ability to self-regulate”</li><li><b>Obael Stormstrong:</b> “Discipline is not a feeling”; “Discipline nuh have time and place”; “It is you controlling yourself”</li><li><b>Passion Purpose:</b> “I didn’t need my instructor to tell me to get my uniform ready”; “I didn’t have to wait on a duty roster”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,1,4,Chapter 4: Internalisation,-703.5347410325464,-301.75246838707164
Chapter 4::conformity_without_assent,conformity_without_assent,conformity without assent,Chapter 4,Internalisation,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>conformity without assent</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Anara Birdsong</li><li>Erin Sharpe</li><li>Marco Wolf</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Female</li><li>Male</li></ul><h3>Data sources</h3><ul><li>Focus group</li><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Erin Sharpe:</b> “gang members, they come in, they conform”; “To be the enemy within”</li><li><b>Anara Birdsong:</b> “Yuh know how much things recruits think but they don’t act? Dem jus’ roll … crawl … and conform.”</li><li><b>Marco Wolf:</b> “steal the pick-up, steal a rifle, or rounds”; “We try to sift these persons out”; “MIU might have missed these persons”</li><li><b>Marco Wolf:</b> “It’s not a singular activity”; “disciplined in one aspect but indisciplined in a next”; “when somebody else is watching”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",3,7,Chapter 4: Internalisation,-939.8546041601719,-206.8551645082849
Chapter 4::extrinsic_motive_compliance,extrinsic_motive_compliance,extrinsic motive compliance,Chapter 4,Internalisation,1,1,<div style='max-width:560px'><h2 style='margin-bottom:4px'>extrinsic motive compliance</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 1<br><b>Clusters represented:</b> 1</p><h3>Participant pseudonyms</h3><ul><li>Anara Birdsong</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Female</li></ul><h3>Data sources</h3><ul><li>Focus group</li></ul><h3>Evidence anchors</h3><ul><li><b>Anara Birdsong:</b> “fear of punishment”; “‘Pass out’”; “‘Tun [become] a soldier’”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,0,1,Chapter 4: Internalisation,-1210,-78.5389767239414
Chapter 4::self_discipline_personal_rule,self_discipline_personal_rule,self discipline personal rule,Chapter 4,Internalisation,2,2,<div style='max-width:560px'><h2 style='margin-bottom:4px'>self discipline personal rule</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Imani Storm</li><li>Erin Sharpe</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Erin Sharpe:</b> “disciplined enough to dot each ‘I’ and cross each ‘T’ to do the wrong”</li><li><b>Imani Storm:</b> “discipline ah di ability fi behave in a controlled environment”; “Self-discipline… You are the environment. Your rules. Your principles.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,2,4,Chapter 4: Internalisation,-877.5747383648061,-328.0547885821425
Chapter 4::moral_neutral_discipline,moral_neutral_discipline,moral neutral discipline,Chapter 4,Internalisation,5,5,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>moral neutral discipline</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 5<br><b>Clusters represented:</b> 5</p><h3>Participant pseudonyms</h3><ul><li>Erin Sharpe</li><li>Marco Wolf</li><li>Malayo Montanas</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Female</li><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Erin Sharpe:</b> “gang members, they come in, they conform”; “To be the enemy within”</li><li><b>Erin Sharpe:</b> “disciplined enough to dot each ‘I’ and cross each ‘T’ to do the wrong”</li><li><b>Malayo Montanas:</b> “Discipline is good and discipline is bad”; “A ‘gun man’ can be one of the most disciplined people”</li><li><b>Marco Wolf:</b> “steal the pick-up, steal a rifle, or rounds”; “We try to sift these persons out”; “MIU might have missed these persons”</li><li><b>Marco Wolf:</b> skin bleaching described through “self-esteem, rock bottom” and a music culture with artistes both “disciplined” and “indisciplined”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",4,9,Chapter 4: Internalisation,-895.8458259075417,-250.94862709328464
Chapter 4::widened_life_governance,widened_life_governance,widened life governance,Chapter 4,Internalisation,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>widened life governance</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Jonathan McDermott</li><li>Erin Sharpe</li><li>Anthony Jackson</li><li>Lee Brown</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Male</li><li>Female</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Lee Brown:</b> “dem nuh have nuh money discipline”; “Have a money discipline. Fix yourself.”</li><li><b>Jonathan McDermott:</b> “There’s discipline in every aspect of their everyday life. Discipline is wide.”</li><li><b>Erin Sharpe:</b> “how to save”; “no need to kind of take what is not yours”; “resources and not wasting”</li><li><b>Anthony Jackson:</b> “If you disciplined with your financial spending, it ah go become easier to free yourself from poverty.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",3,7,Chapter 4: Internalisation,-1100.763190346398,-231.9638954569393
Chapter 4::personal_responsibility_moralisation,personal_responsibility_moralisation,personal responsibility moralisation,Chapter 4,Internalisation,2,2,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>personal responsibility moralisation</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 2<br><b>Clusters represented:</b> 2</p><h3>Participant pseudonyms</h3><ul><li>Anthony Jackson</li><li>Lee Brown</li></ul><h3>Roles</h3><ul><li>Instructor</li><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Lee Brown:</b> “dem nuh have nuh money discipline”; “Have a money discipline. Fix yourself.”</li><li><b>Anthony Jackson:</b> “If you disciplined with your financial spending, it ah go become easier to free yourself from poverty.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",2,4,Chapter 4: Internalisation,-1139.8839157815928,-185.34507441252055
Chapter 4::prior_home_values,prior_home_values,prior home values,Chapter 4,Internalisation,4,4,<div style='max-width:560px'><h2 style='margin-bottom:4px'>prior home values</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Erin Sharpe</li><li>Jeremiah Black</li><li>Kevin Grant</li><li>Chaz Stonegrill</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Female</li><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Jeremiah Black:</b> “you can tell the homes”; “were you a cadet?”; “Very sharp”</li><li><b>Chaz Stonegrill:</b> “first socialisation”; “Your values”; “beliefs are difficult to change”</li><li><b>Erin Sharpe:</b> “how to save”; “no need to kind of take what is not yours”; “resources and not wasting”</li><li><b>Kevin Grant:</b> “Discipline in the home and discipline in the military are two different disciplines. Very different.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>,4,8,Chapter 4: Internalisation,-1036.0983599292224,-293.48730686472766
Chapter 4::context_observation_variability,context_observation_variability,context observation variability,Chapter 4,Internalisation,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>context observation variability</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Internalisation<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Imani Storm</li><li>Marco Wolf</li><li>Kevin Grant</li></ul><h3>Roles</h3><ul><li>School leader</li><li>Instructor</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Kevin Grant:</b> “Discipline in the home and discipline in the military are two different disciplines. Very different.”</li><li><b>Marco Wolf:</b> “It’s not a singular activity”; “disciplined in one aspect but indisciplined in a next”; “when somebody else is watching”</li><li><b>Marco Wolf:</b> skin bleaching described through “self-esteem, rock bottom” and a music culture with artistes both “disciplined” and “indisciplined”</li><li><b>Imani Storm:</b> “discipline ah di ability fi behave in a controlled environment”; “Self-discipline… You are the environment. Your rules. Your principles.”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",4,8,Chapter 4: Internalisation,-948.6668073264416,-289.5179083445718
Chapter 4::strategic_display_persona,strategic_display_persona,strategic display persona,Chapter 4,Performativity,4,4,"<div style='max-width:560px'><h2 style='margin-bottom:4px'>strategic display persona</h2><p><b>Chapter:</b> Chapter 4<br><b>Dominant theme:</b> Performativity<br><b>Code frequency:</b> 4<br><b>Clusters represented:</b> 4</p><h3>Participant pseudonyms</h3><ul><li>Imani Storm</li></ul><h3>Roles</h3><ul><li>School leader</li></ul><h3>Gender coding</h3><ul><li>Male</li></ul><h3>Data sources</h3><ul><li>Interview</li></ul><h3>Evidence anchors</h3><ul><li><b>Imani Storm:</b> “Hummingbird… quality and standard”; “Jankro, weh nuh care, eat anything”</li><li><b>Imani Storm:</b> “mi ah go be ah Hummingbird, while I’m here, fi get to weh mi want go, to get by”</li><li><b>Imani Storm:</b> “when you leave here, turn back into a Jankro”; “Di likkle Jankro mentality start to come out”</li><li><b>Imani Storm:</b> “under so much lock and key and guarded”; “put up an image, a character, or persona”; “turn back into a Jankro”</li></ul><p style='font-size:12px'><i>Node details are drawn from the ENA input file joined to the thematic cluster inventory.</i></p></div>",4,8,Chapter 4: Performativity,-994.5864537520578,129.56180758912154
